product_id,product_description,category
1001,Wireless Bluetooth Earbuds with noise cancellation,Electronics
1002,Men's slim-fit cotton t-shirt,Clothing
1003,Non-stick frying pan with heat-resistant handle,Home & Kitchen
1004,USB-C fast charging cable for Android,Electronics
1005,Casual sneakers with breathable mesh,Clothing
1006,4K Ultra HD Smart LED TV with voice control,Electronics
1007,Women's leather handbag with shoulder strap,Clothing
1008,Electric kettle with auto shut-off,Home & Kitchen
1009,Bluetooth portable speaker with deep bass,Electronics
1010,Yoga pants with high waistband for comfort,Clothing
1011,Smartphone with AMOLED display and triple camera,Electronics
1012,Set of 3 ceramic non-stick cooking pots,Home & Kitchen
1013,Men's analog wristwatch with leather strap,Clothing
1014,LED desk lamp with adjustable brightness,Home & Kitchen
1015,High-performance gaming mouse with RGB lights,Electronics
1016,Kitchen knife set with wooden block,Home & Kitchen
1017,HD webcam with built-in microphone,Electronics
1018,Women's summer dress with floral print,Clothing
1019,Noise-isolating over-ear wired headphones,Electronics
1020,Cotton bath towels set (4 pieces),Home & Kitchen
